"","Var1","Freq"
"5","0610010F05Rik",2
"6","0610012G03Rik",3
"8","0610030E20Rik",2
"10","0610037L13Rik",4
"13","0610040B10Rik",2
"18","1110002E22Rik",2
"23","1110008P14Rik",2
"30","1110032A03Rik",2
"40","1190002N15Rik",2
"46","1500002F19Rik",2
"47","1500004A13Rik",2
"49","1500009L16Rik",2
"50","1500011B03Rik",2
"53","1500015O10Rik",2
"58","1600014C10Rik",2
"65","1700001C02Rik",2
"66","1700001C19Rik",2
"80","1700003H04Rik",2
"91","1700008J07Rik",2
"93","1700008O03Rik",2
"99","1700010H22Rik",3
"100","1700010I14Rik",3
"108","1700012D14Rik",2
"124","1700017B05Rik",2
"145","1700020I14Rik",3
"159","1700025G04Rik",3
"165","1700028E10Rik",2
"173","1700029M03Rik",2
"174","1700029M20Rik",2
"183","1700034H15Rik",2
"187","1700034P13Rik",2
"189","1700037C18Rik",2
"190","1700037H04Rik",3
"201","1700051A21Rik",3
"209","1700060J05Rik",2
"212","1700061G19Rik",2
"250","1700097N02Rik",2
"286","1810010D01Rik",3
"289","1810012K16Rik",2
"291","1810013L24Rik",2
"292","1810014B01Rik",3
"296","1810021B22Rik",2
"300","1810030O07Rik",2
"302","1810043G02Rik",2
"307","1810058I24Rik",2
"313","2010001A14Rik",2
"317","2010007H06Rik",2
"319","2010109A12Rik",3
"332","2210010C04Rik",3
"334","2210016F16Rik",2
"343","2300009A05Rik",2
"344","2310001H17Rik",2
"346","2310002L09Rik",2
"350","2310009A05Rik",3
"354","2310015A10Rik",2
"378","2310057M21Rik",3
"380","2310061I04Rik",2
"394","2410022M11Rik",2
"397","2410131K14Rik",3
"402","2510009E07Rik",2
"404","2510039O18Rik",2
"409","2610002M06Rik",2
"414","2610020C07Rik",2
"415","2610021A01Rik",2
"425","2610044O15Rik8",2
"430","2610301B20Rik",2
"435","2610507B11Rik",2
"436","2610507I01Rik",2
"442","2700046A07Rik",2
"444","2700049A03Rik",2
"450","2700099C18Rik",2
"453","2810004N23Rik",2
"455","2810013P06Rik",2
"463","2810403D21Rik",2
"468","2810408A11Rik",3
"486","2900026A02Rik",2
"491","2900052N01Rik",2
"493","2900060N12Rik",2
"509","3110039I08Rik",2
"522","3300002A11Rik",2
"527","3830406C13Rik",2
"534","4632404H12Rik",2
"537","4632415L05Rik",4
"539","4632427E13Rik",4
"545","4732496C06Rik",2
"546","4831440E17Rik",2
"556","4833420G17Rik",5
"559","4833422M21Rik",3
"566","4921504E06Rik",2
"585","4921525O09Rik",2
"600","4930402H24Rik",4
"628","4930423D22Rik",2
"640","4930430F08Rik",3
"643","4930431P19Rik",2
"676","4930447C04Rik",3
"678","4930447F24Rik",3
"685","4930448K20Rik",2
"690","4930451G09Rik",2
"692","4930452B06Rik",3
"696","4930453N24Rik",4
"720","4930471M09Rik",2
"734","4930480K23Rik",2
"750","4930503L19Rik",2
"758","4930507D05Rik",2
"761","4930509G22Rik",2
"768","4930512B01Rik",2
"771","4930513N10Rik",3
"789","4930519G04Rik",3
"793","4930520O04Rik",2
"796","4930523C07Rik",5
"797","4930523O13Rik",3
"801","4930524O07Rik",3
"805","4930526L06Rik",2
"812","4930533K18Rik",2
"823","4930542C16Rik",2
"829","4930544M13Rik",2
"850","4930556L07Rik",2
"859","4930562C15Rik",2
"863","4930563E22Rik",2
"909","4931406C07Rik",2
"911","4931406P16Rik",3
"916","4931415C17Rik",2
"919","4931428F04Rik",2
"920","4931428L18Rik",3
"931","4932438A13Rik",4
"936","4932702P03Rik",2
"938","4933400F21Rik",2
"955","4933404O12Rik",2
"965","4933406K04Rik",5
"975","4933409F18Rik",2
"982","4933412E12Rik",2
"1016","4933427D06Rik",2
"1034","4933431E20Rik",2
"1041","4933432K03Rik",3
"1047","4933434E20Rik",3
"1054","4933436I20Rik",2
"1061","4933439C10Rik",3
"1068","5031425E22Rik",3
"1070","5031439G07Rik",2
"1074","5033417F24Rik",2
"1082","5330417C22Rik",2
"1096","5430419D17Rik",2
"1112","5530601H04Rik",3
"1122","5730455P16Rik",2
"1124","5730480H06Rik",2
"1126","5730507A11Rik",2
"1143","5930430L01Rik",2
"1149","6030458C11Rik",3
"1155","6330403L08Rik",2
"1157","6330409D20Rik",3
"1165","6430548M08Rik",4
"1167","6430571L13Rik",4
"1170","6430710C18Rik",2
"1173","6530402F18Rik",2
"1180","6720489N17Rik",2
"1181","6820402A03Rik",2
"1189","8030451A03Rik",2
"1190","8030453O22Rik",2
"1192","8430419K02Rik",2
"1206","9130017K11Rik",2
"1207","9130019O22Rik",2
"1230","9330118I20Rik",2
"1231","9330121J05Rik",2
"1234","9330159F19Rik",2
"1239","9330175E14Rik",2
"1243","9330198I05Rik",2
"1250","9430038I01Rik",3
"1260","9430091E24Rik",2
"1270","9530059O14Rik",2
"1271","9530068E07Rik",2
"1272","9530077C05Rik",2
"1279","9630013A20Rik",3
"1283","9630028H03Rik",2
"1285","9830004L10Rik",2
"1287","9930017N22Rik",2
"1297","A130010J15Rik",2
"1302","A230001M10Rik",2
"1304","A230009B12Rik",2
"1309","A230107N01Rik",2
"1312","A330008L17Rik",2
"1317","A330076H08Rik",2
"1320","A330102I10Rik",2
"1325","A430033K04Rik",2
"1334","A530016L24Rik",2
"1336","A530020G20Rik",3
"1337","A530021J07Rik",3
"1340","A530058N18Rik",2
"1341","A530064N14Rik",2
"1354","A730017C20Rik",3
"1356","A730020M07Rik",2
"1360","A730082K24Rik",2
"1362","A730091E23Rik",2
"1367","A830082K12Rik",4
"1376","A930005H10Rik",5
"1384","A930017M01Rik",2
"1390","A930033H14Rik",2
"1402","Aaas",2
"1403","Aacs",3
"1406","Aaed1",2
"1407","Aagab",3
"1408","Aak1",5
"1412","Aar2",3
"1414","Aars",2
"1416","Aasdh",2
"1417","Aasdhppt",4
"1419","Aatf",2
"1424","Abca1",3
"1430","Abca3",2
"1432","Abca5",2
"1438","Abcb10",3
"1440","Abcb1a",2
"1443","Abcb7",2
"1444","Abcb8",2
"1445","Abcb9",3
"1446","Abcc1",2
"1447","Abcc10",2
"1448","Abcc12",2
"1452","Abcc5",8
"1454","Abcc8",2
"1455","Abcc9",3
"1457","Abcd2",3
"1458","Abcd3",2
"1460","Abce1",3
"1461","Abcf1",3
"1463","Abcf3",3
"1466","Abcg3",2
"1467","Abcg4",2
"1471","Abhd10",2
"1474","Abhd12",2
"1475","Abhd13",5
"1476","Abhd14a",2
"1479","Abhd16a",2
"1481","Abhd17b",2
"1483","Abhd18",2
"1484","Abhd2",3
"1486","Abhd4",2
"1487","Abhd5",2
"1488","Abhd6",2
"1490","Abi1",4
